iter	Passed	Remaining
402	12636	18719
403	12666	18686
404	12695	18651
405	12726	18619
406	12755	18585
407	12785	18551
408	12816	18519
409	12847	18487
410	12877	18455
411	12907	18422
412	12938	18389
413	12969	18357
414	12998	18323
415	13028	18290
416	13057	18255
417	13087	18222
418	13117	18189
419	13148	18156
420	13177	18122
421	13206	18089
422	13238	18058
423	13268	18024
424	13298	17992
425	13328	17958
426	13356	17923
427	13387	17891
428	13417	17858
429	13446	17824
430	13476	17791
431	13508	17761
432	13540	17730
433	13569	17696
434	13597	17661
435	13626	17627
436	13657	17594
437	13687	17562
438	13718	17530
439	13748	17498
440	13778	17465
441	13809	17433
442	13840	17402
443	13870	17368
444	13899	17335
445	13931	17304
446	13960	17270
447	13990	17238
448	14019	17204
449	14050	17172
450	14080	17139
451	14111	17108
452	14142	17076
453	14172	17043
454	14200	17008
455	14229	16975
456	14260	16943
457	14289	16910
458	14319	16878
459	14350	16846
460	14382	16816
461	14412	16783
462	14443	16751
463	14472	16718
464	14502	16685
465	14530	16651
466	14561	16619
467	14591	16587
468	14621	16554
469	14651	16521
470	14679	16487
471	14708	16454
472	14739	16421
473	14769	16389
474	14799	16357
475	14830	16325
476	14860	16293
477	14890	16261
478	14920	16229
479	14951	16197
480	14981	16164
481	15009	16130
482	15037	16096
483	15069	16066
484	15098	16032
485	15126	15997
486	15158	15968
487	15190	15937
488	15221	15905
489	15251	15873
490	15280	15840
491	15310	15808
492	15339	15775
493	15369	15742
494	15401	15712
495	15431	15679
496	15461	15648
497	15492	15616
498	15521	15584
499	15552	15552
500	15581	15518
501	15612	15487
502	15641	15454
503	15671	15423
504	15702	15391
505	15731	15358
506	15761	15326
507	15792	15294
508	15822	15263
509	15851	15230
510	15882	15198
511	15913	15167
512	15944	15136
513	15975	15105
514	16006	15074
515	16038	15043
516	16068	15011
517	16096	14978
518	16128	14947
519	16157	14914
520	16187	14882
521	16217	14850
522	16250	14820
523	16281	14790
524	16313	14759
525	16343	14728
526	16374	14696
527	16404	14664
528	16434	14632
529	16465	14601
530	16497	14570
531	16527	14538
532	16557	14507
533	16588	14475
534	16619	14444
535	16648	14412
536	16679	14381
537	16707	14347
538	16736	14314
539	16766	14282
540	16796	14250
541	16827	14219
542	16868	14197
543	16911	14175
544	16941	14143
545	16972	14112
546	17002	14080
547	17031	14047
548	17060	14015
549	17090	13983
550	17119	13950
551	17149	13918
552	17181	13887
553	17210	13855
554	17240	13823
555	17269	13790
556	17300	13759
557	17331	13728
558	17361	13696
559	17391	13664
560	17420	13631
561	17450	13600
562	17480	13568
563	17512	13537
564	17543	13506
565	17574	13475
566	17604	13443
567	17634	13412
568	17663	13379
569	17692	13347
570	17721	13314
571	17752	13283
572	17781	13251
573	17811	13219
574	17841	13187
575	17872	13156
576	17902	13124
577	17932	13092
578	17962	13061
579	17992	13029
580	18022	12996
581	18051	12965
582	18082	12933
583	18112	12901
584	18143	12870
585	18174	12839
586	18201	12806
587	18230	12774
588	18260	12742
589	18289	12709
590	18317	12676
591	18346	12644
592	18378	12613
593	18408	12582
594	18439	12551
595	18467	12518
596	18500	12488
597	18530	12456
598	18561	12425
599	18593	12395
600	18622	12363
601	18652	12331
602	18682	12300
603	18712	12268
604	18742	12236
605	18772	12204
606	18806	12176
607	18836	12144
608	18867	12113
609	18898	12082
610	18926	12050
611	18955	12017
612	18985	11985
613	19015	11954
614	19046	11923
615	19076	11891
616	19106	11860
617	19136	11828
618	19165	11796
619	19197	11765
620	19228	11735
621	19257	11703
622	19286	11671
623	19317	11639
624	19347	11608
625	19376	11576
626	19407	11545
627	19437	11514
628	19468	11482
629	19497	11451
630	19527	11419
631	19556	11387
632	19587	11356
633	19617	11325
634	19648	11294
635	19680	11263
636	19710	11232
637	19740	11200
638	19772	11170
639	19801	11138
640	19830	11106
641	19862	11076
642	19894	11045
643	19923	11013
644	19953	10982
645	19982	10950
646	20011	10918
647	20042	10887
648	20077	10858
649	20108	10827
650	20137	10795
651	20166	10763
652	20197	10733
653	20226	10700
654	20254	10668
655	20286	10637
656	20315	10606
657	20345	10574
658	20376	10543
659	20408	10513
660	20437	10481
661	20467	10450
662	20498	10419
663	20527	10387
664	20557	10356
665	20586	10323
666	20615	10292
667	20644	10260
668	20674	10229
669	20705	10198
670	20735	10166
671	20764	10135
672	20795	10103
673	20826	10073
674	20856	10042
675	20885	10010
676	20917	9979
677	20947	9948
678	20975	9916
679	21006	9885
680	21035	9853
681	21066	9822
682	21097	9791
683	21128	9760
684	21157	9729
685	21187	9698
686	21217	9666
687	21248	9635
688	21278	9604
689	21308	9573
690	21340	9542
691	21371	9512
692	21401	9480
693	21432	9449
694	21461	9418
695	21490	9386
696	21520	9355
697	21551	9324
698	21581	9293
699	21611	9262
700	21643	9231
701	21672	9200
702	21703	9169
703	21732	9137
704	21765	9107
705	21795	9076
706	21826	9045
707	21856	9014
708	21885	8982
709	21917	8952
710	21947	8921
711	21979	8890
712	22009	8859
713	22039	8828
714	22068	8796
715	22097	8765
716	22127	8733
717	22157	8702
718	22188	8671
719	22218	8640
720	22246	8608
721	22276	8577
722	22306	8546
723	22336	8514
724	22366	8483
725	22397	8453
726	22428	8422
727	22456	8390
728	22486	8359
729	22515	8327
730	22544	8296
731	22573	8264
732	22606	8234
733	22636	8203
734	22668	8172
735	22699	8142
736	22730	8111
737	22760	8080
738	22790	8049
739	22822	8018
740	22852	7987
741	22883	7956
742	22912	7925
743	22943	7894
744	22972	7863
745	23003	7832
746	23034	7801
747	23063	7770
748	23093	7739
749	23125	7708
750	23155	7677
751	23187	7646
752	23218	7616
753	23249	7585
754	23279	7554
755	23308	7522
756	23339	7492
757	23370	7461
758	23400	7430
759	23430	7398
760	23461	7368
761	23489	7336
762	23519	7305
763	23550	7274
764	23578	7243
765	23608	7211
766	23638	7180
767	23668	7149
